id,loc,mon,year,scales_AT_1,scales_AT_2,scales_AT_final,scales_CH_1,scales_CH_2,scales_CH_final,scales_CONSENSUS,edgeIsAnnulus
100767,Big Creek,May,2014,3,2,3,2,2,2,3,No (younger by one yr)
100799,Big Creek,May,2014,3,2,1,2,2,2,2,Yes
100712,Big Creek,May,2014,2,2,2,2,2,2,2,Yes
100749,Big Creek,May,2014,2,2,2,2,2,2,2,Yes
100740,Big Creek,May,2014,2,2,2,2,2,2,2,Yes
100728,Big Creek,May,2014,2,2,2,2,2,2,2,Yes
100773,Big Creek,May,2014,2,2,2,2,2,2,2,Yes
100706,Big Creek,May,2014,8,7,8,7,8,8,8,Yes
100732,Big Creek,May,2014,5,5,5,5,6,5,5,Yes
100748,Big Creek,May,2014,6,7,6,6,6,6,6,Yes
100711,Big Creek,May,2014,10,8,8,8,8,8,8,No
100785,Big Creek,May,2014,3,2,2,2,2,2,2,Yes
100774,Big Creek,May,2014,3,3,3,3,3,3,3,Yes
100779,Big Creek,May,2014,5,4,4,5,4,4,4,No
100741,Big Creek,May,2014,2,2,2,2,2,2,2,Yes
100782,Big Creek,May,2014,8,8,8,7,7,7,6,Yes
100701,Big Creek,May,2014,3,2,2,2,2,2,2,Yes
100721,Big Creek,May,2014,2,2,2,2,2,2,2,Yes
100790,Big Creek,May,2014,9,9,9,9,10,10,8,Yes
100734,Big Creek,May,2014,4,4,4,4,4,4,4,Yes
100770,Big Creek,May,2014,2,2,2,2,2,2,2,Yes
100747,Big Creek,May,2014,9,7,8,8,9,8,8,Yes
100764,Big Creek,May,2014,9,8,9,8,8,8,8,Yes
100757,Big Creek,May,2014,4,4,4,3,4,3,3,Yes
100709,Big Creek,May,2014,2,2,2,2,2,2,2,Yes
100727,Big Creek,May,2014,2,3,2,2,3,2,2,Yes
100771,Big Creek,May,2014,7,7,7,8,8,8,7,No
100746,Big Creek,May,2014,7,7,7,7,7,7,7,Yes
100700,Big Creek,May,2014,8,7,8,7,6,7,8,Yes
100766,Big Creek,May,2014,2,2,2,2,2,2,2,Yes
