id,tl,wt,branchio_MT,branchio_ZK,branchio_CONSENSUS,finrays_MT,finrays_ZK,finrays_CONSENSUS,otoliths_MT,otoliths_ZK,otoliths_CONSENSUS
37,458,620.6,5,5,5,4,4,4,6,6,6
38,279,131.5,3,3,3,0,0,0,3,3,3
39,498,734.6,3,3,3,4,4,4,7,6,6
40,276,114.5,2,2,2,1,0,1,2,2,2
41,356,247.1,1,1,1,1,1,1,4,4,4
42,451,419.2,4,4,4,2,3,2,6,6,6
43,898,NA,8,6,8,6,7,7,10,11,11
44,476,628.2,3,5,5,4,4,4,6,6,6
45,369,379.3,3,2,3,3,3,3,3,3,3
46,545,984.1,5,5,5,3,3,3,6,6,6
47,519,856,5,4,5,3,3,3,8,8,8
48,559,891.1,5,4,5,3,3,3,6,6,6
49,311,154,1,1,1,2,2,2,2,2,2
50,389,306.2,7,7,7,2,2,2,4,4,4
51,325,151.2,5,4,4,2,1,1,3,3,3
52,573,1163.2,5,5,5,5,5,5,5,5,5
53,640,1547.3,4,4,4,4,3,4,6,6,6
54,319,170.7,NA,NA,NA,6,6,6,3,3,3
55,530,949.9,6,7,6,0,0,0,6,6,6
56,304,166.4,4,3,4,3,3,3,2,2,2
57,392,283.7,2,2,2,4,4,4,3,3,3
58,615,1536.2,4,4,4,5,5,5,6,6,6
59,526,1018.2,4,4,4,4,4,4,7,6,7
60,344,213.5,3,3,3,3,4,4,3,3,3
61,339,259.1,5,3,4,4,3,3,6,6,6
62,649,1387.5,7,7,7,5,5,5,11,11,11
63,625,1473.9,5,5,5,4,4,4,6,6,6
64,682,2150.7,5,5,5,5,5,5,8,7,8
65,325,173.4,4,5,5,3,3,3,4,4,4
66,327,174.5,4,4,4,2,2,2,4,4,4
67,365,241.9,3,5,5,3,3,3,4,4,4
68,559,1210.1,6,6,6,4,4,4,6,6,6
69,576,1195.1,6,6,6,5,5,5,6,6,6
70,569,816.6,7,7,7,4,4,4,6,6,6
71,619,1507,3,3,3,4,4,4,6,6,6
72,564,1035,4,4,4,5,5,5,6,6,6
73,374,273.3,4,3,4,2,1,2,5,5,5
74,285,174.3,4,4,4,3,3,3,3,3,3
75,331,162.2,1,1,1,3,2,2,4,4,4
76,310,155.1,4,4,4,0,0,0,3,3,3
77,324,213.1,3,4,3,3,3,3,3,3,3
78,615,1349.2,3,4,4,4,3,3,5,5,5
79,374,277.6,2,3,3,3,2,2,3,3,3
80,315,158.1,3,2,3,1,1,1,3,3,3
81,232,53.5,2,2,2,0,0,0,2,2,2
82,455,582.3,8,6,6,3,2,3,6,6,6
