id,tl,sl,otolith_R1,otolith_R2,scales_R1,scales_R2
9,51,41.2,4,4,NA,NA
10,52,42.5,4,4,NA,NA
11,47.7,40.4,NA,NA,NA,NA
12,54,45.5,4,4,NA,NA
13,55.3,44,5,4,NA,NA
14,48.9,42,4,4,NA,NA
15,55,43.5,7,7,NA,NA
16,53,43.5,4,4,NA,NA
17,46.4,37.2,4,4,NA,NA
18,43.4,38,4,4,NA,NA
20,43.5,37.5,4,4,NA,NA
21,55.4,47,5,6,NA,NA
22,52.1,43.5,NA,NA,NA,NA
23,38,32.5,4,4,NA,NA
24,50.4,42,4,4,NA,NA
25,41,34.5,5,5,NA,NA
26,49.3,40.1,4,4,NA,NA
27,53.5,44.6,4,4,NA,NA
28,47.3,39.4,4,4,NA,NA
29,45,37,4,4,NA,NA
30,41.3,34.5,4,4,NA,NA
31,47.5,38.5,5,6,NA,NA
32,42.5,34,4,4,NA,NA
33,50,39,4,4,NA,NA
34,46,38.5,4,4,NA,NA
35,40,32.9,4,4,NA,NA
36,39.5,34,4,4,NA,NA
37,46.7,39.3,4,4,NA,NA
38,53.9,46,4,4,NA,NA
39,46.5,39.7,4,4,NA,NA
40,39.5,32.7,4,4,NA,NA
41,35.5,30,4,4,NA,NA
42,42.5,36,4,4,NA,NA
43,52.5,42.5,4,4,NA,NA
44,34.8,30,4,4,NA,NA
45,40,33.5,NA,NA,NA,NA
46,38.8,33,5,5,NA,NA
47,49.2,39.6,4,4,NA,NA
48,52.5,44.6,NA,NA,NA,NA
49,44.7,37.6,4,4,NA,NA
50,45,38.2,4,4,NA,NA
51,41.4,35,4,4,NA,NA
52,59.5,50,6,5,NA,NA
53,49.3,41.5,5,5,NA,NA
54,39.5,34.7,4,4,NA,NA
55,48.7,41.5,4,5,NA,NA
56,53.9,45.3,5,4,NA,NA
57,53,43.6,4,4,NA,NA
58,43,34.8,5,4,NA,NA
59,39.5,33.6,4,5,NA,NA
60,59.4,49.6,6,6,NA,NA
61,43.2,35.5,4,4,NA,NA
62,41.7,35.2,3,3,NA,NA
63,49.6,38.9,5,4,NA,NA
64,52.7,42.5,3,4,NA,NA
65,53.3,43,5,4,NA,NA
66,50.9,40.6,4,4,NA,NA
67,57.9,49,7,8,NA,NA
68,56.3,50.1,7,7,NA,NA
69,57.8,46.9,4,4,NA,NA
70,58.4,48.8,4,4,NA,NA
71,61,50.3,4,4,NA,NA
72,54.8,44.5,4,4,NA,NA
73,57.1,48.4,4,4,NA,NA
74,54.4,46,4,4,NA,NA
75,51.2,43,4,4,NA,NA
76,47,39.5,4,4,NA,NA
77,49.2,39.6,4,4,NA,NA
78,44.5,38,4,4,NA,NA
79,49,41,6,7,NA,NA
80,54.5,43,6,6,NA,NA
81,49,41,5,5,NA,NA
82,51.2,41.2,4,4,NA,NA
83,43.5,34.5,4,4,NA,NA
84,49.6,40.2,5,5,NA,NA
85,45.2,34.4,5,4,NA,NA
86,51,40,4,4,NA,NA
87,49.6,38.7,4,4,NA,NA
88,43,34.1,4,4,NA,NA
89,41,33.5,4,4,NA,NA
90,55.9,47,4,4,NA,NA
91,50,41.2,4,4,NA,NA
92,NA,39.7,4,4,NA,NA
93,39.2,33.6,NA,NA,NA,NA
94,42.5,37.5,4,4,NA,NA
95,40.2,32.8,4,4,NA,NA
96,42,35.8,4,4,NA,NA
97,35,29.7,NA,NA,NA,NA
98,38,32,4,4,NA,NA
99,42,35.5,4,4,NA,NA
100,49.7,42.6,4,4,NA,NA
101,53.4,45,4,4,NA,NA
102,49,40.4,NA,NA,NA,NA
103,63.5,53.5,6,6,NA,NA
104,50,41.8,NA,NA,NA,NA
105,49.7,40,4,4,NA,NA
106,48,40.2,4,4,NA,NA
107,64,53.6,6,6,NA,NA
108,58.8,49.7,6,7,NA,NA
109,51,42.7,4,4,NA,NA
110,52.6,44.5,NA,NA,NA,NA
111,53.2,44.4,4,5,NA,NA
112,53.4,44.1,4,4,NA,NA
113,44.4,38.1,NA,NA,NA,NA
114,41.2,35.4,4,4,NA,NA
115,37.3,31.3,4,4,NA,NA
116,35.7,29.7,NA,4,NA,NA
117,41.7,35,4,4,NA,NA
118,35.4,30.1,5,5,NA,NA
119,35,29.5,6,4,NA,NA
120,48.5,39.2,6,6,NA,NA
121,33.5,28.8,NA,NA,NA,NA
122,36.2,30.4,4,4,NA,NA
123,42.2,36.2,4,4,NA,NA
124,41.7,35.2,6,6,NA,NA
125,40.5,34.7,4,4,NA,NA
